"incident_id","offence_code","case_number","date","start_date","end_date","nibrs_code","victims","crimename1","crimename2","crimename3","district","location","city","state","zip_code","agency","place","sector","beat","pra","address_number","street_prefix_dir","address_street","street_suffix_dir","street_type","latitude","longitude","police_district_number","geolocation"
"201531403","9109","250025207","2025-06-06T11:14:26.000","2025-06-06T11:14:00.000",,"90Z","1","Crime Against Society","All Other Offenses","RECOVERED PROPERTY - OTHER","MONTGOMERY VILLAGE","8500 BLK  SNOUFFER SCHOOL RD","GAITHERSBURG","MD","20879","MCPD","Rental Storage Facility","R","6R3","421","8500",,"SNOUFFER SCHOOL",,"RD","39.16819","-77.175","6D","
,  
(39.1682, -77.175)"
"201531405","1306","250025204","2025-06-06T10:36:13.000","2025-06-06T10:36:00.000",,"13A","1","Crime Against Person","Aggravated Assault","ASSAULT - AGGRAVATED - NON-FAMILY-STRONG-ARM","GERMANTOWN","19500 BLK  CRYSTAL ROCK DR","GERMANTOWN","MD","20874","MCPD","Residence - Apartment/Condo","N","5N1","595","19500",,"CRYSTAL ROCK",,"DR","39.17692","-77.2643","5D","
,  
(39.1769, -77.2643)"
"201531390","2902","250025194","2025-06-06T09:33:51.000","2025-06-06T09:33:00.000",,"290","1","Crime Against Property","Destruction/Damage/Vandalism of Property","DAMAGE PROPERTY - PRIVATE","BETHESDA","6200 BLK  WALHONDING RD","BETHESDA","MD","20816","MCPD","Residence - Yard","E","2E1","021","6200",,"WALHONDING",,"RD","38.96397","-77.1257","2D","
,  
(38.964, -77.1257)"
"201531394","2305","250025190","2025-06-06T09:11:39.000","2025-06-06T09:11:00.000",,"23F","1","Crime Against Property","Theft From Motor Vehicle","LARCENY - FROM AUTO","MONTGOMERY VILLAGE",,"MONTGOMERY VILLAGE","MD","20886","MCPD","Street - Residential","R","6R2","424",,,"STEDWICK",,"RD","39.17113","-77.2154","6D","
,  
(39.1711, -77.2154)"
"201531382","5707","250025186","2025-06-06T09:09:55.000","2025-06-06T09:09:00.000",,"90J","1","Crime Against Society","Trespass of Real Property","TRESPASSING","ROCKVILLE","100 BLK  ROLLINS AVE","ROCKVILLE","MD","20852","RCPD","Retail - Other","A","1A1","269","100",,"ROLLINS",,"AVE","39.05883","-77.1213","1D","
,  
(39.0588, -77.1213)"
"201531360","1399","250025165","2025-06-06T01:33:46.000","2025-06-06T01:33:00.000",,"13B","1","Crime Against Person","Simple Assault","ASSAULT - 2ND DEGREE","ROCKVILLE","10500 BLK  SUNNY BROOKE LA","POTOMAC","MD","20854","MCPD","Residence -Townhouse/Duplex","B","1B1","237","10500",,"SUNNY BROOKE",,"LA","39.07417","-77.2155","1D","
,  
(39.0742, -77.2155)"
"201531357","9061","250025163","2025-06-06T00:54:26.000","2025-06-06T00:54:00.000","2025-06-06T01:20:00.000","90Z","1","Crime Against Society","All Other Offenses","FUGITIVE FROM MD JURISDICTION","ROCKVILLE","1300 BLK  PICCARD DR","ROCKVILLE","MD","20850","RCPD","Street - Residential","A","1A3","242","1300",,"PICCARD",,"DR","39.10186","-77.1771","1D","
,  
(39.1019, -77.1771)"
"201531443","1399","250025232","2025-06-06T14:34:00.000","2025-06-06T00:01:00.000","2025-06-06T00:30:00.000","13B","1","Crime Against Person","Simple Assault","ASSAULT - 2ND DEGREE","ROCKVILLE","1700 BLK  ROCKVILLE PIK","ROCKVILLE","MD","20852","RCPD","Hotel/Motel/Etc.","A","1A1","272","1700",,"ROCKVILLE",,"PIK","39.06184","-77.124","1D","
,  
(39.0618, -77.124)"
"201531377","9199","250025173","2025-06-06T07:23:41.000","2025-06-06T00:00:00.000",,"90Z","1","Crime Against Society","All Other Offenses","POLICE INFORMATION","GERMANTOWN","19500 BLK  CRYSTAL ROCK DR","GERMANTOWN","MD","20874","MCPD","Residence - Apartment/Condo","N","5N1","595","19500",,"CRYSTAL ROCK",,"DR","39.17692","-77.2643","5D","
,  
(39.1769, -77.2643)"
"201531353","5707","250025161","2025-06-05T23:44:59.000","2025-06-05T23:44:00.000",,"90J","1","Crime Against Society","Trespass of Real Property","TRESPASSING","MONTGOMERY VILLAGE","200 BLK  RIO BLV","GAITHERSBURG","MD","20878","GPD","Restaurant","P","6P1","549","200",,"RIO",,"BLV","0.0","0.0","6D","
,  
(0.0, 0.0)"
"201531354","2309","250025155","2025-06-05T22:24:28.000","2025-06-05T22:15:00.000",,"23H","1","Crime Against Property","All other Larceny","LARCENY - FROM YARDS","WHEATON",,"BROOKEVILLE","MD","20833","MCPD","Field/ Open Space","J","4J2","404",,,"NEW HAMPSHIRE",,"AVE","39.13226","-76.9932","4D","
,  
(39.1323, -76.9932)"
"201531349","2304","250025153","2025-06-05T22:10:17.000","2025-06-05T22:10:00.000",,"23G","1","Crime Against Property","Theft of Motor Vehicle Parts or Accessories","LARCENY - AUTO PARTS","SILVER SPRING","10100 BLK  NEW HAMPSHIRE AVE","SILVER SPRING","MD","20903","MCPD","Parking Lot - Commercial","H","3H2","140","10100",,"NEW HAMPSHIRE",,"AVE","39.02039","-76.9766","3D","
,  
(39.0204, -76.9766)"
"201531359","1313","250025158","2025-06-05T22:53:40.000","2025-06-05T22:00:00.000","2025-06-05T23:15:00.000","13B","2","Crime Against Person","Simple Assault","ASSAULT - SIMPLE","WHEATON","18500 BLK  QUEEN ELIZABETH DR","OLNEY","MD","20832","MCPD","Residence - Single Family","J","4J2","540","18500",,"QUEEN ELIZABETH",,"DR","39.15963","-77.0773","4D","
,  
(39.1596, -77.0773)"
"201531339","9107","250025150","2025-06-05T21:16:31.000","2025-06-05T21:16:00.000",,"90Z","1","Crime Against Society","All Other Offenses","MISSING PERSON","BETHESDA","4900 BLK  BATTERY LA","BETHESDA","MD","20814","MCPD","Residence - Apartment/Condo","E","2E2","054","4900",,"BATTERY",,"LA","38.9925","-77.0992","2D","
,  
(38.9925, -77.0992)"
"201531356","2302","250025151","2025-06-05T21:42:53.000","2025-06-05T20:30:00.000",,"23B","1","Crime Against Property","Purse-snatching","LARCENY - PURSE SNATCHING - NO FORCE","GERMANTOWN","21000 BLK  FREDERICK RD","GERMANTOWN","MD","20876","MCPD","Parking Lot - Commercial","M","5M1","701","21000",,"FREDERICK",,"RD","39.20034","-77.2452","5D","
,  
(39.2003, -77.2452)"
"201531434","9199","250025145","2025-06-05T19:56:47.000","2025-06-05T19:56:00.000",,"90Z","1","Crime Against Society","All Other Offenses","POLICE INFORMATION","SILVER SPRING",,"SILVER SPRING","MD","20910","MCPD","Street - In vehicle","G","3G2","099",,,"WOODSIDE",,"PKW","39.00476","-77.0299","3D","
,  
(39.0048, -77.0299)"
"201531312","3532","250025135","2025-06-05T18:38:43.000","2025-06-05T18:38:00.000",,"35A","1","Crime Against Society","Drug/Narcotic Violations","DRUGS - COCAINE - POSSESS","GERMANTOWN","11500 BLK  MIDDLEBROOK RD","GERMANTOWN","MD","20876","MCPD","Parking Lot - Other","M","5M1","468","11500",,"MIDDLEBROOK",,"RD","39.18123","-77.2384","5D","
,  
(39.1812, -77.2384)"
"201531311","1399","250025134","2025-06-05T18:31:35.000","2025-06-05T18:31:00.000",,"13B","1","Crime Against Person","Simple Assault","ASSAULT - 2ND DEGREE","GERMANTOWN","19700 BLK  CRYSTAL ROCK DR","GERMANTOWN","MD","20874","MCPD","Parking Garage - Residential","N","5N1","595","19700",,"CRYSTAL ROCK",,"DR","39.17902","-77.2616","5D","
,  
(39.179, -77.2616)"
"201531319","5212","250025126","2025-06-05T18:24:53.000","2025-06-05T18:24:00.000",,"520","1","Crime Against Society","Weapon Law Violations","WEAPON - POSSESSION","WHEATON","10700 BLK  CAVALIER DR","SILVER SPRING","MD","20901","MCPD","Street - Residential","L","4L2","158","10700",,"CAVALIER",,"DR","39.03146","-77.0141","4D","
,  
(39.0315, -77.0141)"
"201531319","3562","250025126","2025-06-05T18:24:53.000","2025-06-05T18:24:00.000",,"35A","1","Crime Against Society","Drug/Narcotic Violations","DRUGS - MARIJUANA - POSSESS","WHEATON","10700 BLK  CAVALIER DR","SILVER SPRING","MD","20901","MCPD","Street - In vehicle","L","4L2","158","10700",,"CAVALIER",,"DR","39.03146","-77.0141","4D","
,  
(39.0315, -77.0141)"
"201531309","2902","250025124","2025-06-05T18:12:05.000","2025-06-05T18:12:00.000",,"290","1","Crime Against Property","Destruction/Damage/Vandalism of Property","DAMAGE PROPERTY - PRIVATE","SILVER SPRING","1100 BLK  DENNIS AVE","SILVER SPRING","MD","20901","MCPD","Residence - Single Family","H","3H2","162","1100",,"DENNIS",,"AVE","0.0","0.0","3D","
,  
(0.0, 0.0)"
"201531318","9109","250025131","2025-06-05T17:58:46.000","2025-06-05T17:58:00.000",,"90Z","1","Crime Against Society","All Other Offenses","RECOVERED PROPERTY - OTHER","BETHESDA","5300 BLK  BANGOR DR","KENSINGTON","MD","20895","MCPD","Street - Residential","D","2D4","694","5300",,"BANGOR",,"DR","39.03684","-77.1053","2D","
,  
(39.0368, -77.1053)"
"201531346","9201","250025125","2025-06-05T17:49:27.000","2025-06-05T17:49:00.000",,"90Z","1","Crime Against Society","All Other Offenses","OVERDOSE","BETHESDA","8200 BLK  CUSTER RD","BETHESDA","MD","20817","MCPD","Residence - Single Family","E","2E2","055","8200",,"CUSTER",,"RD","38.99255","-77.1085","2D","
,  
(38.9926, -77.1085)"
"201531302","5212","250025127",,"2025-06-05T17:44:00.000",,"520","1","Crime Against Society","Weapon Law Violations","WEAPON - POSSESSION","BETHESDA","4700 BLK  JONES BRIDGE RD","BETHESDA","MD","20814","MCPD","Street - Residential","D","2D2","044","4700",,"JONES BRIDGE",,"RD","38.99695","-77.0936","2D","
,  
(38.9969, -77.0936)"
"201531313","9113","250025122","2025-06-05T17:32:07.000","2025-06-05T17:32:00.000",,"90Z","1","Crime Against Society","All Other Offenses","MENTAL ILLNESS - EMERGENCY PETITION","BETHESDA","5200 BLK  RANDOLPH RD","ROCKVILLE","MD","20852","MCPD","Parking Lot - Other","D","2D4","523","5200",,"RANDOLPH",,"RD","39.05361","-77.103","2D","
,  
(39.0536, -77.103)"
"201531315","9113","250025133","2025-06-05T17:29:24.000","2025-06-05T17:29:00.000",,"90Z","1","Crime Against Society","All Other Offenses","MENTAL ILLNESS - EMERGENCY PETITION","SILVER SPRING","8500 BLK  HOOD ST","TAKOMA PARK","MD","20912","MCPD","Residence - Single Family","H","3H1","130","8500",,"HOOD",,"ST","0.0","0.0","3D","
,  
(0.0, 0.0)"
"201531344","9021","250025121","2025-06-05T17:20:22.000","2025-06-05T17:20:00.000","2025-06-05T18:30:00.000","90I","1","Crime Against Not a Crime","Runaway","JUVENILE - RUNAWAY","BETHESDA","5400 BLK  TUCKERMAN LA","ROCKVILLE","MD","20852","MCPD","Residence - Apartment/Condo","D","2D4","189","5400",,"TUCKERMAN",,"LA","39.02952","-77.1073","2D","
,  
(39.0295, -77.1073)"
"201531294","2303","250025111","2025-06-05T16:18:31.000","2025-06-05T16:15:00.000",,"23C","1","Crime Against Property","Shoplifting","LARCENY - SHOPLIFTING","SILVER SPRING","12000 BLK  CHERRY HILL RD","SILVER SPRING","MD","20904","MCPD","Retail - Department/Discount Store","I","3I1","146","12000",,"CHERRY HILL",,"RD","39.05259","-76.9531","3D","
,  
(39.0526, -76.9531)"
"201531291","2303","250025105","2025-06-05T16:00:51.000","2025-06-05T16:00:00.000",,"23C","1","Crime Against Property","Shoplifting","LARCENY - SHOPLIFTING","SILVER SPRING","8600 BLK  COLESVILLE RD","SILVER SPRING","MD","20910","MCPD","Retail - Department/Discount Store","G","3G1","109","8600",,"COLESVILLE",,"RD","38.99602","-77.0281","3D","
,  
(38.996, -77.0281)"
"201531320","2303","250025095","2025-06-05T15:27:28.000","2025-06-05T15:27:00.000",,"23C","1","Crime Against Property","Shoplifting","LARCENY - SHOPLIFTING","MONTGOMERY VILLAGE","1  BLK  GRAND CORNER AVE","GAITHERSBURG","MD","20878","GPD","Retail - Department/Discount Store","P","6P1","549","1",,"GRAND CORNER",,"AVE","39.11801","-77.2004","6D","
,  
(39.118, -77.2004)"
"201531297","9107","250025093","2025-06-05T15:20:28.000","2025-06-05T15:20:00.000",,"90Z","1","Crime Against Society","All Other Offenses","MISSING PERSON","MONTGOMERY VILLAGE","9900 BLK  KILLARNEY LA","GAITHERSBURG","MD","20877","MCPD","Residence - Apartment/Condo","P","6P1","429","9900",,"KILLARNEY",,"LA","39.13362","-77.2061","6D","
,  
(39.1336, -77.2061)"
"201531307","9112","250025102","2025-06-05T15:16:35.000","2025-06-05T15:16:00.000",,"90Z","1","Crime Against Society","All Other Offenses","MENTAL TRANSPORT - ONLY","MONTGOMERY VILLAGE","200 BLK  GIRARD ST","GAITHERSBURG","MD","20877","GPD","School - Elementary/Secondary","P","6P3","419","200",,"GIRARD",,"ST","39.14157","-77.1829","6D","
,  
(39.1416, -77.1829)"
"201531275","1103","250025049",,"2025-06-05T15:14:00.000",,"11A","1","Crime Against Person","Forcible Rape","RAPE - STRONG-ARM","MONTGOMERY VILLAGE","19000 BLK  MILLS CHOICE RD","MONTGOMERY VILLAGE","MD","20886","MCPD","Residence - Single Family","R","6R2","546","19000",,"MILLS CHOICE",,"RD","39.16801","-77.2083","6D","
,  
(39.168, -77.2083)"
"201531288","9113","250025085","2025-06-05T15:01:21.000","2025-06-05T15:01:00.000",,"90Z","1","Crime Against Society","All Other Offenses","MENTAL ILLNESS - EMERGENCY PETITION","GERMANTOWN","20200 BLK  GOLDENROD LA","GERMANTOWN","MD","20876","MCPD","Parking Lot - Commercial","M","5M1","468","20200",,"GOLDENROD",,"LA","39.18416","-77.2458","5D","
,  
(39.1842, -77.2458)"
"201531422","9105","250025227",,"2025-06-05T15:00:00.000",,"90Z","1","Crime Against Society","All Other Offenses","LOST PROPERTY","MONTGOMERY VILLAGE","8700 BLK  SNOUFFER SCHOOL RD","GAITHERSBURG","MD","20879","MCPD","Street - Other","R","6R3","720","8700",,"SNOUFFER SCHOOL",,"RD","39.17121","-77.1779","6D","
,  
(39.1712, -77.1779)"
"201531299","2203","250025087","2025-06-05T14:58:35.000","2025-06-05T14:58:00.000",,"220","1","Crime Against Property","Burglary/Breaking and Entering","BURGLARY - FORCED ENTRY-NONRESIDENTIAL","SILVER SPRING","1200 BLK  EAST WEST HWY","SILVER SPRING","MD","20910","MCPD","Other/Unknown","G","3G1","089","1200",,"EAST WEST",,"HWY","38.98994","-77.0289","3D","
,  
(38.9899, -77.0289)"
"201531296","1399","250025094","2025-06-05T14:49:30.000","2025-06-05T14:49:00.000",,"13B","1","Crime Against Person","Simple Assault","ASSAULT - 2ND DEGREE","ROCKVILLE","15000 BLK  TURKEY FOOT RD","GAITHERSBURG","MD","20878","MCPD","School - Elementary/Secondary","B","1B2","560","15000",,"TURKEY FOOT",,"RD","39.1005","-77.2828","1D","
,  
(39.1005, -77.2828)"
"201531301","9021","250025096","2025-06-05T14:43:19.000","2025-06-05T14:43:00.000",,"90I","1","Crime Against Not a Crime","Runaway","JUVENILE - RUNAWAY","GERMANTOWN","11200 BLK  SIBLEY TER","GERMANTOWN","MD","20876","MCPD","Residence -Townhouse/Duplex","M","5M1","470","11200",,"SIBLEY",,"TER","0.0","0.0","5D","
,  
(0.0, 0.0)"
"201531284","9113","250025080","2025-06-05T14:42:49.000","2025-06-05T14:42:00.000","2025-06-05T15:40:00.000","90Z","1","Crime Against Society","All Other Offenses","MENTAL ILLNESS - EMERGENCY PETITION","BETHESDA","7800 BLK  SCOTLAND DR","POTOMAC","MD","20854","MCPD","Residence -Townhouse/Duplex","E","2E3","520","7800",,"SCOTLAND",,"DR","39.03145","-77.1592","2D","
,  
(39.0315, -77.1592)"
"201531278","9021","250025073","2025-06-05T13:34:11.000","2025-06-05T13:34:00.000",,"90I","1","Crime Against Not a Crime","Runaway","JUVENILE - RUNAWAY","MONTGOMERY VILLAGE","19300 BLK  CLUB HOUSE RD","MONTGOMERY VILLAGE","MD","20886","MCPD","Residence - Apartment/Condo","R","6R2","544","19300",,"CLUB HOUSE",,"RD","39.1725","-77.2015","6D","
,  
(39.1725, -77.2015)"
"201531386","9105","250025089","2025-06-05T13:34:01.000","2025-06-05T13:34:00.000",,"90Z","1","Crime Against Society","All Other Offenses","LOST PROPERTY","GERMANTOWN","13300 BLK  KILMARNOCK WAY","GERMANTOWN","MD","20874","MCPD","Residence - Apartment/Condo","N","5N2","448","13300",,"KILMARNOCK",,"WAY","39.14651","-77.2754","5D","
,  
(39.1465, -77.2754)"
"201531274","9108","250025068","2025-06-05T13:24:32.000","2025-06-05T13:24:00.000",,"90Z","1","Crime Against Society","All Other Offenses","RECOVERED PROPERTY - MONT CO.","WHEATON","2300 BLK  RANDOLPH RD","SILVER SPRING","MD","20902","MCPD","Government Building","L","4L1","366","2300",,"RANDOLPH",,"RD","39.05861","-77.0485","4D","
,  
(39.0586, -77.0485)"
"201531396","9199","250025066","2025-06-05T13:22:52.000","2025-06-05T13:22:00.000",,"90Z","1","Crime Against Society","All Other Offenses","POLICE INFORMATION","MONTGOMERY VILLAGE","19000 BLK  WATKINS MILL RD","MONTGOMERY VILLAGE","MD","20886","MCPD","School - Elementary/Secondary","R","6R2","546","19000",,"WATKINS MILL",,"RD","39.16726","-77.2128","6D","
,  
(39.1673, -77.2128)"
"201531268","1399","250025064","2025-06-05T13:00:37.000","2025-06-05T13:00:00.000",,"13B","1","Crime Against Person","Simple Assault","ASSAULT - 2ND DEGREE","MONTGOMERY VILLAGE","19300 BLK  CLUB HOUSE RD","MONTGOMERY VILLAGE","MD","20886","MCPD","Residence - Apartment/Condo","R","6R2","544","19300",,"CLUB HOUSE",,"RD","39.1725","-77.2015","6D","
,  
(39.1725, -77.2015)"
"201531272","9113","250025065","2025-06-05T12:30:56.000","2025-06-05T12:30:00.000","2025-06-05T12:30:00.000","90Z","1","Crime Against Society","All Other Offenses","MENTAL ILLNESS - EMERGENCY PETITION","ROCKVILLE","12400 BLK  TWINBROOK PKW","ROCKVILLE","MD","20852","RCPD","Retail - Other","A","1A2","271","12400",,"TWINBROOK",,"PKW","39.05874","-77.119","1D","
,  
(39.0587, -77.119)"
"201531276","2303","250025070","2025-06-05T13:25:21.000","2025-06-05T12:27:00.000","2025-06-05T12:40:00.000","23C","1","Crime Against Property","Shoplifting","LARCENY - SHOPLIFTING","ROCKVILLE","1600 BLK  ROCKVILLE PIK","ROCKVILLE","MD","20852","RCPD","Retail - Department/Discount Store","A","1A1","266","1600",,"ROCKVILLE",,"PIK","39.06289","-77.1248","1D","
,  
(39.0629, -77.1248)"
"201531267","9021","250025058","2025-06-05T12:02:31.000","2025-06-05T12:02:00.000",,"90I","1","Crime Against Not a Crime","Runaway","JUVENILE - RUNAWAY","WHEATON","12000 BLK  CLARIDGE RD","SILVER SPRING","MD","20902","MCPD","Residence - Single Family","L","4L1","328","12000",,"CLARIDGE",,"RD","39.0516","-77.0661","4D","
,  
(39.0516, -77.0661)"
"201531263","2204","250025045","2025-06-05T11:42:33.000","2025-06-05T11:42:00.000",,"220","1","Crime Against Property","Burglary/Breaking and Entering","BURGLARY - NO FORCED ENTRY-RESIDENTIAL","MONTGOMERY VILLAGE","20600 BLK  BEAVER RIDGE RD","MONTGOMERY VILLAGE","MD","20886","MCPD","Residence - Garage","R","6R2","714","20600",,"BEAVER RIDGE",,"RD","39.19277","-77.1805","6D","
,  
(39.1928, -77.1805)"
"201531457","2901","250025283","2025-06-06T17:35:08.000","2025-06-05T11:30:00.000","2025-06-06T09:30:00.000","290","1","Crime Against Property","Destruction/Damage/Vandalism of Property","DAMAGE PROPERTY - BUSINESS","ROCKVILLE","2000 BLK  GAITHER RD","ROCKVILLE","MD","20850","RCPD","Commercial - Office Building","A","1A3","439","2000",,"GAITHER",,"RD","39.11584","-77.1796","1D","
,  
(39.1158, -77.1796)"
"201531374","1602","250025056","2025-06-05T11:02:14.000","2025-06-05T11:02:00.000",,"90Z","1","Crime Against Society","All Other Offenses","THREAT - TERRORISTIC - STATE OFFENSES","GERMANTOWN","25400 BLK  OAK DR","DAMASCUS","MD","20872","MCPD","School - Elementary/Secondary","M","5M2","607","25400",,"OAK",,"DR","0.0","0.0","5D","
,  
(0.0, 0.0)"
"201531325","1214","250025109","2025-06-05T16:21:02.000","2025-06-05T11:00:00.000",,"120","1","Crime Against Property","Robbery","ROBBERY - KNIFE","MONTGOMERY VILLAGE","100 BLK E DIAMOND AVE","GAITHERSBURG","MD","20877","GPD","Street - Commercial","P","6P3","427","100","E","DIAMOND",,"AVE","39.14006","-77.204","6D","
,  
(39.1401, -77.204)"
"201531248","9101","250025034","2025-06-05T10:10:03.000","2025-06-05T10:09:00.000",,"90Z","1","Crime Against Society","All Other Offenses","SUDDEN DEATH","WHEATON","10700 BLK  GREGORY ST","SILVER SPRING","MD","20901","MCPD","Residence - Single Family","L","4L2","163","10700",,"GREGORY",,"ST","39.03075","-77.028","4D","
,  
(39.0307, -77.028)"
"201531246","9113","250025030","2025-06-05T09:43:17.000","2025-06-05T09:43:00.000","2025-06-05T10:20:00.000","90Z","1","Crime Against Society","All Other Offenses","MENTAL ILLNESS - EMERGENCY PETITION","BETHESDA","5200 BLK  POOKS HILL RD","BETHESDA","MD","20814","MCPD","Residence - Apartment/Condo","E","2E2","071","5200",,"POOKS HILL",,"RD","39.01434","-77.1061","2D","
,  
(39.0143, -77.1061)"
"201531236","9199","250025023",,"2025-06-05T09:27:00.000",,"90Z","1","Crime Against Society","All Other Offenses","POLICE INFORMATION","SILVER SPRING","14300 BLK  FAIRDALE RD","SILVER SPRING","MD","20905","MCPD","School - Elementary/Secondary","I","3I2","384","14300",,"FAIRDALE",,"RD","39.09109","-76.9573","3D","
,  
(39.0911, -76.9573)"
"201531243","9199","250025028","2025-06-05T09:16:36.000","2025-06-05T08:58:00.000",,"90Z","1","Crime Against Society","All Other Offenses","POLICE INFORMATION","WHEATON","4400 BLK  GARRETT PARK RD","SILVER SPRING","MD","20906","MCPD","Street - In vehicle","L","4L1","310","4400",,"GARRETT PARK",,"RD","39.04227","-77.0855","4D","
,  
(39.0423, -77.0855)"
"201531239","3562","250025027","2025-06-05T09:19:33.000","2025-06-05T08:00:00.000","2025-06-05T09:19:00.000","35A","1","Crime Against Society","Drug/Narcotic Violations","DRUGS - MARIJUANA - POSSESS","WHEATON","300 BLK  NORWOOD RD","SILVER SPRING","MD","20905","MCPD","School - Elementary/Secondary","J","4J1","372","300",,"NORWOOD",,"RD","39.11409","-77.0146","4D","
,  
(39.1141, -77.0146)"
"201531239","5212","250025027","2025-06-05T09:19:33.000","2025-06-05T08:00:00.000","2025-06-05T09:19:00.000","520","1","Crime Against Society","Weapon Law Violations","WEAPON - POSSESSION","WHEATON","300 BLK  NORWOOD RD","SILVER SPRING","MD","20905","MCPD","School - Elementary/Secondary","J","4J1","372","300",,"NORWOOD",,"RD","39.11409","-77.0146","4D","
,  
(39.1141, -77.0146)"
